Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
11,tt1895587,2026-04-17,2026-04-17,"社会派枠としてどうですか(山田)","スポットライト 世紀のスクープ","Spotlight",https://www.imdb.com/title/tt1895587/,映画,8.1,129,2015,"バイオグラフィー, 犯罪, ドラマ",534409,2016-04-15,"Tom McCarthy",,
12,tt0232500,2026-04-17,2026-04-17,"スキルツリーとしてはものまね士(山田)","ワイルド・スピード","The Fast and the Furious",https://www.imdb.com/title/tt0232500/,映画,6.8,106,2001,"アクション, 犯罪, スリラー",456322,2001-10-20,"Rob Cohen",,
13,tt1392190,2026-04-17,2026-04-17,"普通にこういうリスト作るなら入れるべき(野津)バイオやるならRE:2とりあえずやっとけば?みたいな雰囲気(山田)","マッドマックス　怒りのデス・ロード","Mad Max: Fury Road",https://www.imdb.com/title/tt1392190/,映画,8.1,120,2015,"アクション, アドベンチャー, SF",1203861,2015-06-20,"George Miller",,
14,tt0106856,2026-04-17,2026-04-17,"ロサンゼルスの暑さにやんなっちゃった主人公がいろんなところに行ってはブチギレまくる映画(野津)","フォーリング・ダウン","Falling Down",https://www.imdb.com/title/tt0106856/,映画,7.5,113,1993,"犯罪, ドラマ, スリラー",225853,1993-07-31,"Joel Schumacher",,
15,tt0072271,2026-04-17,2026-04-17,"見てはいけないものが写ってるのではないか？って感じさせるヤバい映画(野津)","悪魔のいけにえ","The Texas Chain Saw Massacre",https://www.imdb.com/title/tt0072271/,映画,7.4,83,1974,"ホラー",211415,1975-02-01,"Tobe Hooper",,
16,tt0068646,2026-04-17,2026-04-17,"面白さに辿り着くまでの道のりが遠い(山田)いい顔したおじさんたちがいっぱい出てくるので天国みたいなもの(野津)","ゴッドファーザー","The Godfather",https://www.imdb.com/title/tt0068646/,映画,9.2,175,1972,"犯罪, ドラマ",2220584,1972-07-15,"Francis Ford Coppola",,
17,tt11813216,2026-04-17,2026-04-17,"あー友達が必要だな、っていうただその一点のみで映画が終われる、人生を変える可能性を持つ映画(山田)","イニシェリン島の精霊","The Banshees of Inisherin",https://www.imdb.com/title/tt11813216/,映画,7.6,114,2022,"コメディ, ドラマ",295018,2023-01-27,"Martin McDonagh",,
18,tt0088763,2026-04-17,2026-04-17,"子供の頃見て、洋画好きにならなかった。アニメとか見てぇしって(山田)","バック・トゥ・ザ・フューチャー","Back to the Future",https://www.imdb.com/title/tt0088763/,映画,8.5,116,1985,"アドベンチャー, コメディ, SF",1448986,1985-12-07,"Robert Zemeckis",,
19,tt0799934,2026-04-17,2026-04-17,"山田さんに連絡すればポストに届く(野津)","僕らのミライへ逆回転","Be Kind Rewind",https://www.imdb.com/title/tt0799934/,映画,6.4,102,2008,"コメディ",96438,2008-10-11,"Michel Gondry",,
20,tt0780504,2026-04-17,2026-04-17,"ゲームっぽいと聞いたので見たことがある(千葉)","ドライヴ","Drive",https://www.imdb.com/title/tt0780504/,映画,7.8,100,2011,"アクション, ドラマ",761069,2012-03-31,"Nicolas Winding Refn",,
21,tt5691670,2026-04-17,2026-04-17,"日常の細かなところ全てに意味を見出して、しかも「ホントだよ？」っていう感じになっていく(山田)","アンダー・ザ・シルバーレイク","Under the Silver Lake",https://www.imdb.com/title/tt5691670/,映画,6.5,139,2018,"犯罪, ミステリー, スリラー",60482,2018-10-13,"David Robert Mitchell",,
22,tt32376165,2026-04-17,2026-04-17,"ザッピングシステム、バイオハザード2みたいな感じ(山田)","ハウス・オブ・ダイナマイト","A House of Dynamite",https://www.imdb.com/title/tt32376165/,映画,6.4,112,2025,"ドラマ, スリラー",115638,2025-10-24,"Kathryn Bigelow",,
